time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,4,2,1,1
2023-02-28 00:00:00+00:00,9,3,102,8
2023-03-01 00:00:00+00:00,32,10,103,8
2023-03-02 00:00:00+00:00,20,10,72,6
2023-03-03 00:00:00+00:00,69,11,83,2
2023-03-04 00:00:00+00:00,15,2,6,1
2023-03-06 00:00:00+00:00,44,9,27,4
2023-03-07 00:00:00+00:00,26,7,8,1
2023-03-08 00:00:00+00:00,14,8,43,5
2023-03-09 00:00:00+00:00,39,9,13,2
2023-03-10 00:00:00+00:00,26,6,93,6
2023-03-11 00:00:00+00:00,2,1,0,0
2023-03-12 00:00:00+00:00,27,8,21,2
2023-03-13 00:00:00+00:00,40,19,58,6
2023-03-14 00:00:00+00:00,14,4,18,4
2023-03-15 00:00:00+00:00,99,20,37,7
2023-03-16 00:00:00+00:00,14,7,12,2
2023-03-17 00:00:00+00:00,18,11,52,6
2023-03-18 00:00:00+00:00,2,2,13,1
2023-03-19 00:00:00+00:00,2,2,0,0
2023-03-20 00:00:00+00:00,21,14,23,5
2023-03-21 00:00:00+00:00,9,6,64,8
2023-03-22 00:00:00+00:00,38,13,47,6
2023-03-23 00:00:00+00:00,70,19,111,8
2023-03-24 00:00:00+00:00,8,4,4,3
2023-03-25 00:00:00+00:00,2,2,0,0
2023-03-26 00:00:00+00:00,7,4,7,3
2023-03-27 00:00:00+00:00,25,10,17,3
2023-03-28 00:00:00+00:00,8,6,12,3
2023-03-29 00:00:00+00:00,25,10,59,13
2023-03-30 00:00:00+00:00,7,5,19,6
2023-03-31 00:00:00+00:00,18,5,88,5
2023-04-01 00:00:00+00:00,2,2,0,0
2023-04-02 00:00:00+00:00,2,2,1,1
2023-04-03 00:00:00+00:00,9,4,15,5
2023-04-04 00:00:00+00:00,4,3,7,3
2023-04-05 00:00:00+00:00,8,7,2,2
2023-04-06 00:00:00+00:00,14,8,33,6
2023-04-07 00:00:00+00:00,7,4,23,3
2023-04-08 00:00:00+00:00,2,2,0,0
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-10 00:00:00+00:00,3,3,14,5
2023-04-11 00:00:00+00:00,5,5,9,5
2023-04-12 00:00:00+00:00,19,7,19,3
2023-04-13 00:00:00+00:00,7,5,17,2
2023-04-14 00:00:00+00:00,21,8,43,9
2023-04-15 00:00:00+00:00,2,2,2,2
2023-04-16 00:00:00+00:00,3,3,0,0
2023-04-17 00:00:00+00:00,17,8,9,5
2023-04-18 00:00:00+00:00,6,3,60,5
2023-04-19 00:00:00+00:00,39,15,78,10
2023-04-20 00:00:00+00:00,9,7,35,7
2023-04-21 00:00:00+00:00,13,8,4,3
2023-04-22 00:00:00+00:00,3,2,0,0
2023-04-23 00:00:00+00:00,5,4,11,1
2023-04-24 00:00:00+00:00,12,7,28,8
2023-04-25 00:00:00+00:00,12,6,27,4
2023-04-26 00:00:00+00:00,10,4,17,10
2023-04-27 00:00:00+00:00,19,6,122,15
2023-04-28 00:00:00+00:00,17,6,53,8
2023-04-29 00:00:00+00:00,5,4,1,1
2023-04-30 00:00:00+00:00,3,2,0,0
2023-05-01 00:00:00+00:00,12,6,77,9
2023-05-02 00:00:00+00:00,7,5,33,15
2023-05-03 00:00:00+00:00,11,6,70,5
2023-05-04 00:00:00+00:00,6,4,41,6
2023-05-05 00:00:00+00:00,21,10,35,7
2023-05-06 00:00:00+00:00,4,3,4,1
2023-05-07 00:00:00+00:00,3,2,3,1
2023-05-08 00:00:00+00:00,6,5,55,6
2023-05-09 00:00:00+00:00,9,6,81,6
2023-05-10 00:00:00+00:00,9,6,29,6
2023-05-11 00:00:00+00:00,4,3,14,3
2023-05-12 00:00:00+00:00,13,7,14,1
2023-05-13 00:00:00+00:00,5,4,10,2
2023-05-14 00:00:00+00:00,4,3,0,0
2023-05-15 00:00:00+00:00,9,5,23,5
2023-05-16 00:00:00+00:00,7,6,60,7
2023-05-17 00:00:00+00:00,10,5,48,7
2023-05-18 00:00:00+00:00,10,5,87,9
2023-05-19 00:00:00+00:00,16,10,150,8
2023-05-20 00:00:00+00:00,3,2,1,1
2023-05-21 00:00:00+00:00,6,4,0,0
2023-05-22 00:00:00+00:00,6,3,33,2
2023-05-23 00:00:00+00:00,8,4,34,7
2023-05-24 00:00:00+00:00,24,7,44,7
2023-05-25 00:00:00+00:00,8,5,216,8
2023-05-26 00:00:00+00:00,7,5,19,5
2023-05-27 00:00:00+00:00,4,3,0,0
2023-05-28 00:00:00+00:00,4,3,0,0
2023-05-29 00:00:00+00:00,3,3,4,1
2023-05-30 00:00:00+00:00,11,6,70,7
2023-05-31 00:00:00+00:00,7,6,32,7
2023-06-01 00:00:00+00:00,16,8,35,6
2023-06-02 00:00:00+00:00,13,8,0,0
2023-06-03 00:00:00+00:00,5,4,3,1
2023-06-04 00:00:00+00:00,3,2,0,0
2023-06-05 00:00:00+00:00,19,10,39,7
2023-06-06 00:00:00+00:00,12,7,24,7
2023-06-07 00:00:00+00:00,24,13,141,10
2023-06-08 00:00:00+00:00,10,6,115,11
2023-06-09 00:00:00+00:00,16,8,23,4
2023-06-10 00:00:00+00:00,7,3,10,1
2023-06-11 00:00:00+00:00,3,2,0,0
2023-06-12 00:00:00+00:00,22,11,15,6
2023-06-13 00:00:00+00:00,6,3,10,3
